Title,Publisher,Link,DiscountPCT,OriginalPrice,DiscountPrice,Discount_Endtime,Rating,Rating_count,Genre,ReleaseDate
"Diablo® II: Resurrected™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Blizzard Entertainment, Inc.",https://store.playstation.com/en-hk/product/UP0002-PPSA02443_00-D2RESURRECTED000,67%,HK$311.00,HK$102.63,20/3/2024 03:59 PM UTC,3.62,14k,"Action, Adventure, Role Playing Games",22/9/2021
"Overcooked! 2 - Gourmet Edition (Simplified Chinese, English, Korean, Japanese)",Team17 Digital Ltd,https://store.playstation.com/en-hk/product/EP4064-CUSA10870_00-ASIA000000000008,75%,HK$354.00,HK$88.50,20/3/2024 03:59 PM UTC,4.5,9.3k,"Action, Casual, Family",8/4/2020
Overcooked! 2 - Season Pass (English/Chinese/Korean/Japanese Ver.),Team17 Digital Ltd,https://store.playstation.com/en-hk/product/EP4064-CUSA10870_00-ASIA000000000005,60%,HK$157.00,HK$62.80,20/3/2024 03:59 PM UTC,3.79,150,Family,19/4/2019
Overcooked! 2 - Campfire Cook Off (English/Chinese/Korean/Japanese Ver.),Team17 Digital Ltd,https://store.playstation.com/en-hk/product/EP4064-CUSA10870_00-ASIA000000000004,75%,HK$47.00,HK$11.75,20/3/2024 03:59 PM UTC,3.19,112,Family,19/4/2019
Overcooked! 2 - Carnival of Chaos (English/Chinese/Korean/Japanese Ver.),Team17 Digital Ltd,https://store.playstation.com/en-hk/product/EP4064-CUSA10870_00-ASIA000000000007,50%,HK$47.00,HK$23.50,20/3/2024 03:59 PM UTC,3.46,56,Family,13/9/2019
Overcooked! 2 - Night of the Hangry Horde (English/Chinese/Korean/Japanese Ver.),Team17 Digital Ltd,https://store.playstation.com/en-hk/product/EP4064-CUSA10870_00-ASIA000000000006,50%,HK$78.00,HK$39.00,20/3/2024 03:59 PM UTC,3.62,37,Family,17/6/2019
Overcooked! 2 - Surf 'n' Turf (English/Chinese/Korean/Japanese Ver.),Team17 Digital Ltd,https://store.playstation.com/en-hk/product/EP4064-CUSA10870_00-ASIA000000000003,50%,HK$50.00,HK$25.00,20/3/2024 03:59 PM UTC,3.1,170,Family,1/11/2018
Overcooked! 2 - Too Many Cooks Pack (English/Chinese/Korean/Japanese Ver.),Team17 Digital Ltd,https://store.playstation.com/en-hk/product/EP4064-CUSA10870_00-ASIA000000000001,50%,HK$23.00,HK$11.50,20/3/2024 03:59 PM UTC,3.04,72,Family,27/9/2018
"Forspoken (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-PPSA03985_00-ATHIA00000000003,60%,HK$568.00,HK$227.20,20/3/2024 03:59 PM UTC,3.87,2.5k,"Action, Role Playing Games",23/1/2023
"Forspoken Digital Deluxe Upgrade (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-PPSA03985_00-8971847611927297,60%,HK$190.00,HK$76.00,20/3/2024 03:59 PM UTC,3.87,2.5k,"Action, Role Playing Games",23/1/2023
CAPTAIN TSUBASA: RISE OF NEW CHAMPIONS (Traditional Chinese),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA14834_00-0000000000000001,75%,HK$299.00,HK$74.75,20/3/2024 03:59 PM UTC,4.39,5k,Sport,26/8/2020
"The Elder Scrolls V: Skyrim Anniversary Edition - PS5 & PS4 (Simplified Chinese, English, Traditional Chinese)",Bethesda Softworks,https://store.playstation.com/en-hk/product/HP1003-PPSA04637_00-SKY10ANNIVERSARY,67%,HK$388.00,HK$128.04,20/3/2024 03:59 PM UTC,4.76,66k,"Role Playing Games, Action",15/9/2022
ACE COMBAT™ 7: SKIES UNKNOWN (Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA07163_00-ASIAFULLGAME0000,90%,HK$489.00,HK$48.90,20/3/2024 03:59 PM UTC,4.59,18k,"Action, Simulation, Shooter",16/1/2019
